DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,02:00:00 22-Sep-2016,3.000000,7,,,,,24,,,,40,10,10,40,98,100,100,100,100,100,30,3,3,3,3,3,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 23-Sep-2016,3.000000,3,,,,,24,,3,0,3,3,3,3,3,3,3,3,3,10,3,40,3,3,3,3,10,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 24-Sep-2016,3.000000,4,,,,,24,,3,3,10,3,3,3,3,3,3,10,3,3,0,0,0,3,10,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 25-Sep-2016,3.000000,3,,,,,24,,0,0,3,0,3,3,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 26-Sep-2016,4.000000,2,,,,,24,,0,0,0,3,0,0,0,3,3,3,3,3,3,20,3,0,10,20,100,98,100,98,98,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 28-Sep-2016,4.000000,3,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 30-Sep-2016,4.000000,2,,,,,24,,3,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,90,100,100,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 03-Oct-2016,4.000000,3,,,,,24,,0,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 04-Oct-2016,5.000000,6,,,,,24,,3,3,3,3,0,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,3,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 05-Oct-2016,5.000000,2,,,,,24,,3,3,10,10,3,10,3,30,3,3,3,10,3,0,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
