DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2016_3024_15A0909,160941,Mk10,03:08:48 22-Sep-2016,Argos,B,52.7370,173.9152,,,,,,,,,,
PV2016_3024_15A0909,160941,Mk10,03:38:04 22-Sep-2016,Argos,A,52.7439,173.9186,217,454,103,105,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:00:45 22-Sep-2016,Argos,1,52.7489,173.9338,655,2375,180,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:47:41 22-Sep-2016,Argos,3,52.7403,173.9141,189,628,56,62,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:17:13 22-Sep-2016,Argos,2,52.7500,173.9153,272,2336,31,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:40:38 22-Sep-2016,Argos,1,52.7458,173.9069,850,3493,206,69,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:35:42 22-Sep-2016,Argos,B,52.7492,173.9077,3067,5343,1760,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:55:25 22-Sep-2016,Argos,B,52.7471,173.9058,1761,3293,941,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,07:16:39 22-Sep-2016,Argos,B,52.7519,173.9094,3034,6088,1512,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,07:45:28 22-Sep-2016,Argos,B,52.7506,173.9095,2796,6778,1153,94,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:33:50 23-Sep-2016,Argos,B,52.7833,173.8959,4094,13350,1255,103,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:56:56 23-Sep-2016,Argos,B,52.7893,173.8464,3698,7314,1869,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:29:41 23-Sep-2016,Argos,B,52.7709,173.8366,3172,10220,984,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:08:53 23-Sep-2016,Argos,A,52.7503,173.9147,390,6518,23,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:01:28 23-Sep-2016,Argos,B,52.7484,173.9222,1050,2017,546,93,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:45:30 23-Sep-2016,Argos,2,52.7512,173.9134,283,420,189,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:09:41 23-Sep-2016,Argos,3,52.7523,173.9127,188,561,62,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:35:26 23-Sep-2016,Argos,A,52.7534,173.8991,406,2978,55,100,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:36:42 23-Sep-2016,Argos,A,52.7544,173.9101,146,295,72,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:49:14 23-Sep-2016,Argos,B,52.7534,173.9104,1144,1995,655,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:14:23 23-Sep-2016,Argos,B,52.7683,173.9354,1115,7596,163,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:06:02 23-Sep-2016,Argos,B,52.7701,173.9432,1493,4104,543,98,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:53:57 23-Sep-2016,Argos,A,52.7617,173.9017,3635,41043,322,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:01:32 24-Sep-2016,Argos,B,52.7517,173.9000,2329,41418,131,111,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:48:40 24-Sep-2016,Argos,0,52.8778,173.4250,12004,24161,5963,122,,,,,,Lon > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,02:48:53 24-Sep-2016,Argos,0,52.8856,173.5615,15327,33954,6918,127,,,,,,Lat > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,06:03:19 24-Sep-2016,Argos,B,52.7022,173.8115,53697,188534,15293,65,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:03:47 24-Sep-2016,Argos,1,52.7482,173.9044,1153,16383,81,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:19:21 24-Sep-2016,Argos,B,52.7080,173.8366,46616,122059,17802,68,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:00:02 24-Sep-2016,Argos,B,52.6833,173.8853,12676,22312,7201,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:48:09 24-Sep-2016,Argos,B,52.7309,173.8474,3313,58379,188,69,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:01:16 24-Sep-2016,Argos,A,52.7190,173.8438,282,694,114,106,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:04:45 24-Sep-2016,Argos,A,52.7097,173.8384,772,2033,293,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:46:05 25-Sep-2016,Argos,B,52.6846,173.8303,18142,130482,2522,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:35:34 26-Sep-2016,Argos,B,52.7011,173.9694,22499,94137,5377,92,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:51:26 26-Sep-2016,Argos,B,52.7195,173.9169,19529,134736,2830,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:37:41 26-Sep-2016,Argos,2,52.7506,173.8928,370,1222,111,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:13:21 26-Sep-2016,Argos,A,52.7490,173.9003,398,981,161,31,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:27:59 26-Sep-2016,Argos,B,52.7490,173.9017,588,864,400,83,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:03:43 26-Sep-2016,Argos,B,52.7484,173.9057,720,3814,135,73,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:15:51 26-Sep-2016,Argos,3,52.7484,173.8979,157,606,40,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:05:09 26-Sep-2016,Argos,B,52.7475,173.8900,700,6740,72,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:41:35 26-Sep-2016,Argos,B,52.7229,173.8916,1198,2264,633,93,,,,,,
