DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,02:00:00 30-Sep-2016,-2.000000,4,,,,,24,,,,98,100,100,40,10,3,3,0,0,3,0,0,0,3,3,3,3,3,3,0,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 01-Oct-2016,-1.000000,6,,,,,24,,100,100,100,100,20,3,3,0,0,3,3,3,3,3,3,3,0,50,100,100,100,100,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 02-Oct-2016,0.000000,4,,,,,24,,3,3,70,50,0,3,3,0,0,0,0,0,3,3,3,3,50,100,60,50,3,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 03-Oct-2016,1.000000,4,,,,,24,,30,3,3,3,3,3,3,0,0,0,3,3,3,3,98,100,100,40,100,100,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 04-Oct-2016,1.000000,2,,,,,24,,100,100,98,30,3,3,3,0,0,0,0,0,3,30,90,40,3,3,70,100,100,98,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 05-Oct-2016,2.000000,2,,,,,24,,100,100,100,98,10,3,3,0,3,70,10,3,3,0,50,90,60,30,3,50,40,10,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 06-Oct-2016,3.000000,5,,,,,24,,10,10,3,3,3,3,3,3,0,0,0,0,40,20,3,10,80,40,60,20,20,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 07-Oct-2016,4.000000,4,,,,,24,,80,90,98,98,98,50,3,0,0,0,0,0,3,0,40,10,60,98,80,3,3,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 08-Oct-2016,4.000000,2,,,,,24,,0,3,3,3,3,3,0,0,0,0,0,3,90,100,100,100,80,90,90,90,90,100,100,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 09-Oct-2016,5.000000,1,,,,,24,,98,100,100,100,70,3,3,0,0,0,0,0,3,40,80,70,10,3,3,40,100,100,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 10-Oct-2016,6.000000,2,,,,,24,,50,100,90,40,3,3,3,0,0,0,0,10,40,98,98,90,100,98,3,90,100,100,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 11-Oct-2016,6.000000,1,,,,,24,,3,3,3,10,3,3,3,0,0,0,0,0,3,80,40,60,100,100,50,98,100,100,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 12-Oct-2016,7.000000,4,,,,,24,,90,98,98,98,98,80,0,3,50,0,0,0,0,60,80,80,80,3,3,30,98,70,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 13-Oct-2016,8.000000,2,,,,,24,,90,100,100,70,3,3,3,0,0,0,0,3,10,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 14-Oct-2016,8.000000,2,,,,,24,,100,100,100,100,70,60,0,0,0,0,50,100,100,100,100,100,100,20,3,3,3,3,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 15-Oct-2016,9.000000,3,,,,,24,,100,100,100,40,3,3,0,0,0,0,0,0,3,80,98,100,100,50,90,80,100,90,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 18-Oct-2016,11.000000,2,,,,,24,,100,30,98,60,0,3,3,0,0,0,0,0,3,80,30,3,3,0,20,3,3,3,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 19-Oct-2016,12.000000,2,,,,,24,,70,0,0,0,3,3,0,0,0,0,0,0,0,3,3,20,100,20,3,3,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 22-Oct-2016,14.000000,1,,,,,24,,3,0,0,3,3,3,3,3,3,3,3,0,0,0,3,3,0,0,0,3,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 23-Oct-2016,15.000000,1,,,,,24,,3,0,0,0,3,3,3,3,3,3,0,40,40,0,40,90,100,80,100,98,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 24-Oct-2016,15.000000,1,,,,,24,,100,100,100,100,100,100,3,0,0,0,0,0,30,100,100,100,98,40,90,100,90,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
